id,title,description,ticket_url,ticket_price,ticket_tier,free_event,food_available,indoor_outdoor,age,promoter,manual_artist_names,event_image_url,dice_url,,,
1557,Belleville Three: The Origins,"______ ______________: ______ ____________________ __________ ____________ ________
Detroit didn’t just build cars; it built the future. And it all started with three friends in Belleville.
On ____________, ______ ________, history comes full circle. The ____________________, the __________________, and the ________________—________ ____________, ______________ ______, ______ __________ ____________________—are returning to the soil where the soul of ____________ ______ ________.

This isn’t just another tour date. ________ ____ __ ____________________, ______-__________-________ ____________________ ____ ______________________ __________ ________, located less than a mile from where these three icons first experimented with the sounds that would conquer the world.

______ ________ __________ ____ ________________:
• ______ ________ ________: A rare joint appearance featuring individual and group sets by the architects of the genre.
• __ ____________ ____________: The legacy continues with the next generation: __________ (daughter of Juan Atkins) and ______ ____________________ ________________.
• ________________ ____________: Limited VIP tickets offer a rare __&__ ______ ________ & __________ with the legends themselves.
• __________________ ____ ______ ____________: We’re fueling the next wave of local innovators—____% ____ ______ __________ ____________ ______________ will be donated directly to the ____________________ ________________ ________.

______ ______________:
________: Friday, May 22, 2026
__________: Diamondback Music Hall | Belleville, MI
______________: On Sale Monday, March 30th at 10 AM

________ ______________ ______ ____________________. ______________ ______ __________________. ____________________ ______ ____________________ ________ ____ ______ __________ ________ __________ ____ ______ __________.
Event admin
DiamondbackMI734
Update this event",https://www.ticketweb.com/event/belleville-three-the-origins-diamondback-music-hall-tickets/14815653?pl=diamondback,70,,,,indoor,18+,,Milan Atkins,https://images.ra.co/c802311259aa7130d8b9db4079432f96b06730ea.png,,,,
1558,Soul Clap's House of EFUNK DETROIT Day 2,,,70,$70 Presale,,,,,,,https://images.ra.co/3574307dd65bcca775d90ec3aa5396f2481a0643.png,,,,
1559,Reset Fest 2026 - Day 1,"RESET FEST 2026 returns to Corktown for two days of ambient music, visual art, and open-air listening at Batch Brewing Company. Running across the outdoor stage, pavilion, and surrounding spaces, the festival brings together a stacked lineup of artists and offers a place to chill out, recharge, hydrate, grab food, and take the scenic route through Memorial Day Weekend. All ages, free to the public, all are welcome!",,0,,TRUE,TRUE,outdoor,All ages,,"Phaserland, Weather Citizen, Stan Sommerson, LYFRM",https://images.ra.co/e6f903908c93d57fd262c1a58ea122f92a912de7.png,,,,
1560,Reset Fest 2026 - Day 2,"
RESET FEST 2026 returns to Corktown for two days of ambient music, visual art, and open-air listening at Batch Brewing Company. Running across the outdoor stage, pavilion, and surrounding spaces, the festival brings together a stacked lineup of artists and offers a place to chill out, recharge, hydrate, grab food, and take the scenic route through Memorial Day Weekend. Admission is free. All ages. All are welcome!",,0,,TRUE,TRUE,outdoor,All ages,,"Na Bonsai. Tim Barrett, Glitter Skulls, Chien-An Yuan, K., Venusloc, Devin Haselwood, Sean O'Neill",https://images.ra.co/8664f70ba15de7a13bf98ca3b3bf407ef137387c.png,,,,
1563,Tropical Freeze presents Stacey Pullen,"Tropical Freeze is proud to host Stacey Pullen, founder of Blackflag Recordings and a global ambassador for Detroit‚Äôs second wave of techno. This showcase features a performance by the ""Kosmik Messenger"" alongside Pressure Rhythm, Vasco, and Esho in the Main Room. Additionally, we will host a rooftop session beginning at 4:00 PM.

Lineup:
Main Room: Stacey Pullen, Pressure Rhythm, Vasco, Esho
Rooftop: Dru Ruiz, Logan Lennox, La√≠re

Event Details:
Doors Open: 4:00 PM
Ticket Price: $20",,23,General admission,,,,,,,https://images.ra.co/85052dedf39923fa1cc9ddcd05dafecbc8e2a6a3.png,,,,
1564,Sunday Bliss Rooftop Day Party,"Sunday Bliss Rooftop Day Party returns on Sunday, May 24th at Level Two Bar & Rooftop for a high-energy day into night experience during Detroit Techno Weekend.

Join us for a special Road to Summer Bliss event featuring 2 stages of music with the best in House, Techno, and Bass House, plus specialty drinks, rooftop vibes, and an electric crowd ready to celebrate all day long. VIP bottle service will be available for those looking to elevate the experience.

We’ll also be giving away free Summer Bliss Festival tickets throughout the event, making this the perfect kickoff for festival season.

Limited $10 tickets available now
General Admission: $20",,11.5,Early bird,,,outdoor,21+,,,https://images.ra.co/8767e17429af08a4a0cb60261fb3043f1ac34574.jpg,,,,
1565,More Than You Can Bear 3,"The Friday Tradition Returns — More Than You Can Bear • TV Lounge • Year 3
The countdown to Festival weekend starts right here. For the third year running, this beloved Friday kickoff returns May 22, 2026 at the iconic TV Lounge — and if you know Detroit, you already know this is where the real ones begin the weekend.
Before the festival gates open, the dancefloor lights up with a night dedicated to Detroit’s unstoppable electronic music culture. Expect a hand-picked lineup of legendary local selectors and special visiting guests bringing the energy from open to close.
Full lineup drops April 8
Early Bird tickets available now — lowest price you’ll see
This party has quickly become a festival weekend ritual — the place where the city gathers, the music runs deep, and the weekend officially begins. There is no true Movement weekend blueprint without TV Lounge in the mix. The history, the memories, the energy, the sound system, the patio, the people — it’s all part of the experience that sets the tone for the days ahead.
Start your festival weekend properly.
Bring your crew. Bring your best vibes.
Meet us on the dancefloor.
This isn’t just a pre-party — it’s the ignition point.
Secure your discounted advance tickets now
Tell your friends. Share the post. Make your plans.
Meet me at TV.",,34.5,1st release,,,both,,,,https://images.ra.co/d9568be39530e9c0fed6c126e587e1fbc1871ad4.jpg,,,,
1566,Donavan Glover: DONLITE DAY PARTY,,,23,1st release,,,,,,,https://images.ra.co/703e91e7ccc9704a82301f9b3b4cbe5ac1ee1c08.png,,,,
1567,Memorial Day Special: Bring Dat Ass (&your feet will follow) to Spot Lite,,,22.85,Early bird,,,,,,,https://images.ra.co/fefb11bda3b44262a491ee5fbf369036c38134bc.png,,,,
1568,Liquid Dancehall presents Chef Boyarbeatz The Last Recipe Tour,,,16.8,1st release,,,,,,,https://images.ra.co/54edad6a09e76968412289ccd5dd251b1725ea0d.jpg,,,,
1569,Shazam Is Broken,"“Shazam Is Broken” Saturday May 23rd, Movement Weekend in Detroit starting at 11pm as you enter the doors, your Shazam will not work.

Gone are the days where every event you attend has a DJ spinning wax, on this night you’ll have four of them. House, Soulful, Deep and Classic will be featured and the warmth of the vinyl will be felt. Join us for a FREE event, yep FREE all night with a cash bar and a kitchen that will be open late.

The selectors, Raybone Jones, Eric “EMuzik” Johnson, DJ Taz and Calvin Morgan. The location, Cutter’s Bar & Grill, 2638 Orleans Street, Detroit, Mi. 48207 (Eastern Market area)",,0,,TRUE,,indoor,,,,https://images.ra.co/87ac127997c6b45bd15fc9ca354b16d917adeaab.jpg,,,,
1570,Underground & Black Detroit Day Party Vol. 6,"Underground & Black returns to Detroit for its annual Movement Weekend function, bringing the culture back to its source. Join us at Spot Lite for a day into night affair rooted in the sounds that started it all. From deep house to Detroit techno, this gathering honors the Black foundations of electronic music while spotlighting the artists pushing it forward. A yearly staple of the weekend festivities, this event is not to be missed!",,40.25,General admission,,,,,,,https://images.ra.co/9ea97e04e1af88d6266f094fa3eab84b017f7c02.png,,,,
1571,Soul Clap's House of EFUNK DETROIT 2026,,,70,$70 Presale,,,,,,,https://images.ra.co/3574307dd65bcca775d90ec3aa5396f2481a0643.png,,,,
1572,DREAMLAND,"You unlock this door with the key of imagination. Beyond it is another dimension: a dimension of sound, a dimension of sight, a dimension of mind. You’re moving into a land of both shadow and substance, of things and ideas. You’ve just crossed over into…Dreamland.

From the brains behind Dolls Night and Blueprint comes something new. In Dreamland, up is down, left is right, and for the correct amount of tickets, any twist and turn is in reach. Expect: big TOPS, illusions, tricks, treats, and off the tail rhythms.

As always remember the golden rule: you must be 12 inches to ride. 

sound by karlala soundsystem
lights by hardlite

location released to ticket holders noon the day of !",,45.7,1st release,,,,21+,,,https://images.ra.co/5fdee35da6b0e7b0f1c5dcf90bb105b7df4551d0.jpg,,,,
1573,Detroit Techno 5k,"Detroit Techno 5K is a one-of-a-kind running experience that fuses the city's legendary electronic music culture with community fitness. Set against Detroit's iconic backdrop, runners move through the course along the Detroit Riverfront, bringing together music lovers and athletes in a shared celebration of movement and culture. Ending in a finish line DJ party with Jack Beats. Whether you're a seasoned runner or lacing up for the first time, this event is built for everyone who wants to experience Detroit differently. More than a race, it's a movement. Join us and run to the rhythm of the city that invented techno.",https://www.techno5k.com/,55,,,,outdoor,18+,,,https://images.ra.co/293030fe4077026f607c43ae418691a59f125a3d.jpg,,,,
